  1/d centre Rsplit/%       nref      d / A   Min 1/nm    Max 1/nm
     1.398       3.72       3427       7.15      0.261       2.535
     2.864       4.82       3286       3.49      2.535       3.193
     3.424       4.89       3264       2.92      3.193       3.655
     3.839       5.19       3228       2.60      3.655       4.023
     4.178       5.57       3219       2.39      4.023       4.334
     4.469       6.73       3244       2.24      4.334       4.605
     4.727       8.50       3179       2.12      4.605       4.848
     4.958      10.21       3211       2.02      4.848       5.069
     5.170      14.48       3183       1.93      5.069       5.272
     5.366      21.25       3216       1.86      5.272       5.460
     5.548      30.26       3148       1.80      5.460       5.636
     5.719      45.40       3232       1.75      5.636       5.802
     5.880      57.88       3156       1.70      5.802       5.959
     6.033      80.96       3170       1.66      5.959       6.108
     6.179     105.17       3207       1.62      6.108       6.250
