  1/d centre      CC*       nref      d / A   Min 1/nm    Max 1/nm
     1.239  0.9944252       2317       8.07      0.261       2.217
     2.505  0.9925955       2229       3.99      2.217       2.792
     2.994  0.9916888       2189       3.34      2.792       3.196
     3.357  0.9899415       2174       2.98      3.196       3.518
     3.653  0.9897111       2169       2.74      3.518       3.789
     3.908  0.9884124       2160       2.56      3.789       4.026
     4.133  0.9877494       2149       2.42      4.026       4.239
     4.335  0.9875238       2149       2.31      4.239       4.432
     4.520  0.9369157       2175       2.21      4.432       4.609
     4.691  0.9729639       2126       2.13      4.609       4.774
     4.851  0.9687854       2147       2.06      4.774       4.928
     5.000  0.9411043       2137       2.00      4.928       5.073
     5.141  0.9387212       2145       1.94      5.073       5.210
     5.275  0.8987263       2134       1.90      5.210       5.340
     5.402  0.8320939       2133       1.85      5.340       5.464
