# Completeness Statistics from ech-laser_1h_d1_completeness.dat
Center 1/nm  # refs Possible  Compl       Meas   Red   SNR     Mean I     d(A)    Min 1/nm   Max 1/nm
     1.239     2317     2315 100.09    3158013 1363.0 13.90     221.03     8.07       0.261      2.217
     2.505     2229     2229 100.00    1790758 803.4 12.99     155.21     3.99       2.217      2.792
     2.994     2189     2189 100.00    1527274 697.7 12.04      65.37     3.34       2.792      3.196
     3.357     2174     2174 100.00    1424867 655.4 11.00      27.59     2.98       3.196      3.518
     3.653     2169     2169 100.00    1332745 614.5  9.84      15.68     2.74       3.518      3.789
     3.908     2160     2160 100.00    1255336 581.2  8.40       9.55     2.56       3.789      4.026
     4.133     2149     2149 100.00    1192084 554.7  7.27       6.67     2.42       4.026      4.239
     4.335     2149     2149 100.00    1130945 526.3  6.08       4.69     2.31       4.239      4.432
     4.520     2175     2175 100.00    1032283 474.6  4.57       3.35     2.21       4.432      4.609
     4.691     2126     2126 100.00    1003463 472.0  3.51       2.25     2.13       4.609      4.774
     4.851     2147     2147 100.00     952178 443.5  2.86       1.71     2.06       4.774      4.928
     5.000     2137     2137 100.00     922852 431.8  2.02       1.13     2.00       4.928      5.073
     5.141     2145     2145 100.00     930449 433.8  1.48       0.75     1.94       5.073      5.210
     5.275     2134     2134 100.00     911751 427.2  1.04       0.50     1.90       5.210      5.340
     5.402     2133     2133 100.00     897419 420.7  0.71       0.33     1.85       5.340      5.464

# Rsplit Statistics from ech-laser_1h_d1_Rsplit.dat
  1/d centre Rsplit/%       nref      d / A   Min 1/nm    Max 1/nm
     1.239       9.04       2317       8.07      0.261       2.217
     2.505      10.36       2229       3.99      2.217       2.792
     2.994      11.37       2189       3.34      2.792       3.196
     3.357      12.14       2174       2.98      3.196       3.518
     3.653      12.48       2169       2.74      3.518       3.789
     3.908      13.81       2160       2.56      3.789       4.026
     4.133      14.73       2149       2.42      4.026       4.239
     4.335      16.05       2149       2.31      4.239       4.432
     4.520      21.56       2175       2.21      4.432       4.609
     4.691      24.56       2126       2.13      4.609       4.774
     4.851      27.84       2147       2.06      4.774       4.928
     5.000      37.98       2137       2.00      4.928       5.073
     5.141      44.75       2145       1.94      5.073       5.210
     5.275      59.28       2134       1.90      5.210       5.340
     5.402      81.99       2133       1.85      5.340       5.464

# CChalf Statistics from ech-laser_1h_d1_CChalf.dat
  1/d centre       CC       nref      d / A   Min 1/nm    Max 1/nm
     1.239  0.9780075       2317       8.07      0.261       2.217
     2.505  0.9709208       2229       3.99      2.217       2.792
     2.994  0.9674325       2189       3.34      2.792       3.196
     3.357  0.9607540       2174       2.98      3.196       3.518
     3.653  0.9598777       2169       2.74      3.518       3.789
     3.908  0.9549559       2160       2.56      3.789       4.026
     4.133  0.9524556       2149       2.42      4.026       4.239
     4.335  0.9516067       2149       2.31      4.239       4.432
     4.520  0.7822311       2175       2.21      4.432       4.609
     4.691  0.8987199       2126       2.13      4.609       4.774
     4.851  0.8842062       2147       2.06      4.774       4.928
     5.000  0.7948124       2137       2.00      4.928       5.073
     5.141  0.7876257       2145       1.94      5.073       5.210
     5.275  0.6774427       2134       1.90      5.210       5.340
     5.402  0.5294966       2133       1.85      5.340       5.464

# CCstar Statistics from ech-laser_1h_d1_CCstar.dat
  1/d centre      CC*       nref      d / A   Min 1/nm    Max 1/nm
     1.239  0.9944252       2317       8.07      0.261       2.217
     2.505  0.9925955       2229       3.99      2.217       2.792
     2.994  0.9916888       2189       3.34      2.792       3.196
     3.357  0.9899415       2174       2.98      3.196       3.518
     3.653  0.9897111       2169       2.74      3.518       3.789
     3.908  0.9884124       2160       2.56      3.789       4.026
     4.133  0.9877494       2149       2.42      4.026       4.239
     4.335  0.9875238       2149       2.31      4.239       4.432
     4.520  0.9369157       2175       2.21      4.432       4.609
     4.691  0.9729639       2126       2.13      4.609       4.774
     4.851  0.9687854       2147       2.06      4.774       4.928
     5.000  0.9411043       2137       2.00      4.928       5.073
     5.141  0.9387212       2145       1.94      5.073       5.210
     5.275  0.8987263       2134       1.90      5.210       5.340
     5.402  0.8320939       2133       1.85      5.340       5.464

