  1/d centre       CC       nref      d / A   Min 1/nm    Max 1/nm
     1.239  0.9726586       2317       8.07      0.261       2.217
     2.505  0.9564767       2229       3.99      2.217       2.792
     2.994  0.9585130       2189       3.34      2.792       3.196
     3.357  0.9506580       2174       2.98      3.196       3.518
     3.653  0.9450195       2169       2.74      3.518       3.789
     3.908  0.9400106       2160       2.56      3.789       4.026
     4.133  0.9530566       2149       2.42      4.026       4.239
     4.335  0.9442903       2149       2.31      4.239       4.432
     4.520  0.9136262       2175       2.21      4.432       4.609
     4.691  0.8987792       2126       2.13      4.609       4.774
     4.851  0.8845976       2147       2.06      4.774       4.928
     5.000  0.8515944       2137       2.00      4.928       5.073
     5.141  0.7825668       2145       1.94      5.073       5.210
     5.275  0.6720353       2134       1.90      5.210       5.340
     5.402  0.5629353       2133       1.85      5.340       5.464
