# Completeness Statistics from ech-laser_1h_d2_completeness.dat
Center 1/nm  # refs Possible  Compl       Meas   Red   SNR     Mean I     d(A)    Min 1/nm   Max 1/nm
     1.239     2317     2315 100.09    2284482 986.0 11.94     228.37     8.07       0.261      2.217
     2.505     2229     2229 100.00    1293404 580.3 11.29     163.47     3.99       2.217      2.792
     2.994     2189     2189 100.00    1103230 504.0 10.69      70.07     3.34       2.792      3.196
     3.357     2174     2174 100.00    1030894 474.2  9.87      29.40     2.98       3.196      3.518
     3.653     2169     2169 100.00     965838 445.3  8.98      16.89     2.74       3.518      3.789
     3.908     2160     2160 100.00     909597 421.1  7.81      10.36     2.56       3.789      4.026
     4.133     2149     2149 100.00     860818 400.6  6.81       7.27     2.42       4.026      4.239
     4.335     2149     2149 100.00     819071 381.1  5.73       5.10     2.31       4.239      4.432
     4.520     2175     2175 100.00     746421 343.2  4.39       3.61     2.21       4.432      4.609
     4.691     2126     2126 100.00     725695 341.3  3.49       2.47     2.13       4.609      4.774
     4.851     2147     2147 100.00     688514 320.7  2.85       1.87     2.06       4.774      4.928
     5.000     2137     2137 100.00     667095 312.2  2.07       1.27     2.00       4.928      5.073
     5.141     2145     2145 100.00     672963 313.7  1.53       0.83     1.94       5.073      5.210
     5.275     2134     2134 100.00     659536 309.1  1.07       0.55     1.90       5.210      5.340
     5.402     2133     2133 100.00     647382 303.5  0.73       0.35     1.85       5.340      5.464

# Rsplit Statistics from ech-laser_1h_d2_Rsplit.dat
  1/d centre Rsplit/%       nref      d / A   Min 1/nm    Max 1/nm
     1.239      10.01       2317       8.07      0.261       2.217
     2.505      12.15       2229       3.99      2.217       2.792
     2.994      12.84       2189       3.34      2.792       3.196
     3.357      13.33       2174       2.98      3.196       3.518
     3.653      14.14       2169       2.74      3.518       3.789
     3.908      15.66       2160       2.56      3.789       4.026
     4.133      15.33       2149       2.42      4.026       4.239
     4.335      17.40       2149       2.31      4.239       4.432
     4.520      21.40       2175       2.21      4.432       4.609
     4.691      25.55       2126       2.13      4.609       4.774
     4.851      28.66       2147       2.06      4.774       4.928
     5.000      37.21       2137       2.00      4.928       5.073
     5.141      45.89       2145       1.94      5.073       5.210
     5.275      60.57       2134       1.90      5.210       5.340
     5.402      85.08       2133       1.85      5.340       5.464

# CChalf Statistics from ech-laser_1h_d2_CChalf.dat
  1/d centre       CC       nref      d / A   Min 1/nm    Max 1/nm
     1.239  0.9726586       2317       8.07      0.261       2.217
     2.505  0.9564767       2229       3.99      2.217       2.792
     2.994  0.9585130       2189       3.34      2.792       3.196
     3.357  0.9506580       2174       2.98      3.196       3.518
     3.653  0.9450195       2169       2.74      3.518       3.789
     3.908  0.9400106       2160       2.56      3.789       4.026
     4.133  0.9530566       2149       2.42      4.026       4.239
     4.335  0.9442903       2149       2.31      4.239       4.432
     4.520  0.9136262       2175       2.21      4.432       4.609
     4.691  0.8987792       2126       2.13      4.609       4.774
     4.851  0.8845976       2147       2.06      4.774       4.928
     5.000  0.8515944       2137       2.00      4.928       5.073
     5.141  0.7825668       2145       1.94      5.073       5.210
     5.275  0.6720353       2134       1.90      5.210       5.340
     5.402  0.5629353       2133       1.85      5.340       5.464

# CCstar Statistics from ech-laser_1h_d2_CCstar.dat
  1/d centre      CC*       nref      d / A   Min 1/nm    Max 1/nm
     1.239  0.9930457       2317       8.07      0.261       2.217
     2.505  0.9888146       2229       3.99      2.217       2.792
     2.994  0.9893519       2189       3.34      2.792       3.196
     3.357  0.9872715       2174       2.98      3.196       3.518
     3.653  0.9857650       2169       2.74      3.518       3.789
     3.908  0.9844175       2160       2.56      3.789       4.026
     4.133  0.9879090       2149       2.42      4.026       4.239
     4.335  0.9855694       2149       2.31      4.239       4.432
     4.520  0.9771713       2175       2.21      4.432       4.609
     4.691  0.9729808       2126       2.13      4.609       4.774
     4.851  0.9688991       2147       2.06      4.774       4.928
     5.000  0.9590880       2137       2.00      4.928       5.073
     5.141  0.9370285       2145       1.94      5.073       5.210
     5.275  0.8965785       2134       1.90      5.210       5.340
     5.402  0.8487382       2133       1.85      5.340       5.464

