  1/d centre      CC*       nref      d / A   Min 1/nm    Max 1/nm
     1.258  0.9962267       2444       7.95      0.261       2.254
     2.546  0.9941059       2324       3.93      2.254       2.839
     3.044  0.9938068       2291       3.29      2.839       3.249
     3.413  0.9934869       2282       2.93      3.249       3.576
     3.714  0.9929465       2288       2.69      3.576       3.852
     3.973  0.9924138       2262       2.52      3.852       4.094
     4.201  0.9919705       2251       2.38      4.094       4.309
     4.407  0.9893173       2292       2.27      4.309       4.505
     4.596  0.9852285       2231       2.18      4.505       4.686
     4.770  0.9819251       2270       2.10      4.686       4.853
     4.932  0.9809873       2253       2.03      4.853       5.010
     5.084  0.9653479       2211       1.97      5.010       5.157
     5.227  0.9493694       2254       1.91      5.157       5.297
     5.363  0.9083150       2268       1.86      5.297       5.429
     5.492  0.8498454       2242       1.82      5.429       5.556
