  1/d centre       CC       nref      d / A   Min 1/nm    Max 1/nm
     1.258  0.9696066       2444       7.95      0.261       2.254
     2.546  0.9609783       2324       3.93      2.254       2.839
     3.044  0.9527017       2291       3.29      2.839       3.249
     3.413  0.9573190       2282       2.93      3.249       3.576
     3.714  0.9352119       2288       2.69      3.576       3.852
     3.973  0.9466311       2262       2.52      3.852       4.094
     4.201  0.9427490       2251       2.38      4.094       4.309
     4.407  0.9277202       2292       2.27      4.309       4.505
     4.596  0.9207352       2231       2.18      4.505       4.686
     4.770  0.8978249       2270       2.10      4.686       4.853
     4.932  0.8842251       2253       2.03      4.853       5.010
     5.084  0.8219952       2211       1.97      5.010       5.157
     5.227  0.7433051       2254       1.91      5.157       5.297
     5.363  0.6000633       2268       1.86      5.297       5.429
     5.492  0.4375276       2242       1.82      5.429       5.556
