  1/d centre Rsplit/%       nref      d / A   Min 1/nm    Max 1/nm
     1.258      10.17       2444       7.95      0.261       2.254
     2.546      11.67       2324       3.93      2.254       2.839
     3.044      13.48       2291       3.29      2.839       3.249
     3.413      13.07       2282       2.93      3.249       3.576
     3.714      14.55       2288       2.69      3.576       3.852
     3.973      15.12       2262       2.52      3.852       4.094
     4.201      15.88       2251       2.38      4.094       4.309
     4.407      18.73       2292       2.27      4.309       4.505
     4.596      22.39       2231       2.18      4.505       4.686
     4.770      26.46       2270       2.10      4.686       4.853
     4.932      30.45       2253       2.03      4.853       5.010
     5.084      39.50       2211       1.97      5.010       5.157
     5.227      51.71       2254       1.91      5.157       5.297
     5.363      70.75       2268       1.86      5.297       5.429
     5.492      91.94       2242       1.82      5.429       5.556
