# Completeness Statistics from ech-laser_30min_completeness.dat
Center 1/nm  # refs Possible  Compl       Meas   Red   SNR     Mean I     d(A)    Min 1/nm   Max 1/nm
     1.258     2444     2442 100.08    2338838 957.0 12.10     235.48     7.95       0.261      2.254
     2.546     2324     2324 100.00    1307479 562.6 11.41     158.82     3.93       2.254      2.839
     3.044     2291     2291 100.00    1134833 495.3 10.56      64.00     3.29       2.839      3.249
     3.413     2282     2282 100.00    1059230 464.2  9.88      27.77     2.93       3.249      3.576
     3.714     2288     2288 100.00     992512 433.8  8.68      15.37     2.69       3.576      3.852
     3.973     2262     2262 100.00     926590 409.6  7.67       9.86     2.52       3.852      4.094
     4.201     2251     2251 100.00     879075 390.5  6.60       6.79     2.38       4.094      4.309
     4.407     2292     2292 100.00     829030 361.7  5.37       4.67     2.27       4.309      4.505
     4.596     2231     2231 100.00     756240 339.0  4.02       3.09     2.18       4.505      4.686
     4.770     2270     2270 100.00     749151 330.0  3.23       2.19     2.10       4.686      4.853
     4.932     2253     2253 100.00     690459 306.5  2.54       1.62     2.03       4.853      5.010
     5.084     2211     2211 100.00     687675 311.0  1.77       0.97     1.97       5.010      5.157
     5.227     2254     2254 100.00     692691 307.3  1.31       0.67     1.91       5.157      5.297
     5.363     2268     2268 100.00     686896 302.9  0.85       0.41     1.86       5.297      5.429
     5.492     2242     2242 100.00     667821 297.9  0.62       0.29     1.82       5.429      5.556

# Rsplit Statistics from ech-laser_30min_Rsplit.dat
  1/d centre Rsplit/%       nref      d / A   Min 1/nm    Max 1/nm
     1.258      10.17       2444       7.95      0.261       2.254
     2.546      11.67       2324       3.93      2.254       2.839
     3.044      13.48       2291       3.29      2.839       3.249
     3.413      13.07       2282       2.93      3.249       3.576
     3.714      14.55       2288       2.69      3.576       3.852
     3.973      15.12       2262       2.52      3.852       4.094
     4.201      15.88       2251       2.38      4.094       4.309
     4.407      18.73       2292       2.27      4.309       4.505
     4.596      22.39       2231       2.18      4.505       4.686
     4.770      26.46       2270       2.10      4.686       4.853
     4.932      30.45       2253       2.03      4.853       5.010
     5.084      39.50       2211       1.97      5.010       5.157
     5.227      51.71       2254       1.91      5.157       5.297
     5.363      70.75       2268       1.86      5.297       5.429
     5.492      91.94       2242       1.82      5.429       5.556

# CChalf Statistics from ech-laser_30min_CChalf.dat
  1/d centre       CC       nref      d / A   Min 1/nm    Max 1/nm
     1.258  0.9696066       2444       7.95      0.261       2.254
     2.546  0.9609783       2324       3.93      2.254       2.839
     3.044  0.9527017       2291       3.29      2.839       3.249
     3.413  0.9573190       2282       2.93      3.249       3.576
     3.714  0.9352119       2288       2.69      3.576       3.852
     3.973  0.9466311       2262       2.52      3.852       4.094
     4.201  0.9427490       2251       2.38      4.094       4.309
     4.407  0.9277202       2292       2.27      4.309       4.505
     4.596  0.9207352       2231       2.18      4.505       4.686
     4.770  0.8978249       2270       2.10      4.686       4.853
     4.932  0.8842251       2253       2.03      4.853       5.010
     5.084  0.8219952       2211       1.97      5.010       5.157
     5.227  0.7433051       2254       1.91      5.157       5.297
     5.363  0.6000633       2268       1.86      5.297       5.429
     5.492  0.4375276       2242       1.82      5.429       5.556

# CCstar Statistics from ech-laser_30min_CCstar.dat
  1/d centre      CC*       nref      d / A   Min 1/nm    Max 1/nm
     1.258  0.9922544       2444       7.95      0.261       2.254
     2.546  0.9900004       2324       3.93      2.254       2.839
     3.044  0.9878148       2291       3.29      2.839       3.249
     3.413  0.9890370       2282       2.93      3.249       3.576
     3.714  0.9831182       2288       2.69      3.576       3.852
     3.973  0.9861967       2262       2.52      3.852       4.094
     4.201  0.9851553       2251       2.38      4.094       4.309
     4.407  0.9810734       2292       2.27      4.309       4.505
     4.596  0.9791486       2231       2.18      4.505       4.686
     4.770  0.9727086       2270       2.10      4.686       4.853
     4.932  0.9687908       2253       2.03      4.853       5.010
     5.084  0.9498959       2211       1.97      5.010       5.157
     5.227  0.9234467       2254       1.91      5.157       5.297
     5.363  0.8660539       2268       1.86      5.297       5.429
     5.492  0.7802066       2242       1.82      5.429       5.556

