# Completeness Statistics from ech-full_dark_completeness.dat
Center 1/nm  # refs Possible  Compl       Meas   Red   SNR     Mean I     d(A)    Min 1/nm   Max 1/nm
     1.353     3505     3504 100.03   21945058 6261.1 28.03     240.09     7.39       0.139      2.566
     2.900     3358     3358 100.00   12837636 3823.0 23.90     117.19     3.45       2.566      3.233
     3.467     3323     3323 100.00   11316644 3405.6 21.53      38.52     2.88       3.233      3.701
     3.888     3323     3323 100.00   10287718 3095.9 19.48      17.83     2.57       3.701      4.074
     4.231     3317     3317 100.00    9246132 2787.5 17.06      10.85     2.36       4.074      4.388
     4.526     3251     3251 100.00    8507468 2616.9 13.97       6.60     2.21       4.388      4.663
     4.786     3290     3290 100.00    7882753 2396.0 10.95       3.98     2.09       4.663      4.909
     5.021     3266     3266 100.00    7755008 2374.5  8.32       2.37     1.99       4.909      5.133
     5.235     3297     3297 100.00    7573520 2297.1  5.87       1.32     1.91       5.133      5.338
     5.434     3256     3256 100.00    7280605 2236.1  3.80       0.73     1.84       5.338      5.529
     5.618     3269     3269 100.00    7114076 2176.2  2.49       0.42     1.78       5.529      5.707
     5.791     3250     3250 100.00    6892308 2120.7  1.78       0.28     1.73       5.707      5.875
     5.955     3242     3242 100.00    6393899 1972.2  1.15       0.18     1.68       5.875      6.034
     6.110     3260     3260 100.00    5373310 1648.3  0.79       0.12     1.64       6.034      6.185
     6.257     3282     3282 100.00    4511151 1374.5  0.52       0.09     1.60       6.185      6.329

# Rsplit Statistics from ech-full_dark_Rsplit.dat
  1/d centre Rsplit/%       nref      d / A   Min 1/nm    Max 1/nm
     1.353       4.21       3505       7.39      0.139       2.566
     2.900       5.41       3358       3.45      2.566       3.233
     3.467       6.32       3323       2.88      3.233       3.701
     3.888       7.01       3323       2.57      3.701       4.074
     4.231       7.52       3317       2.36      4.074       4.388
     4.526       8.65       3251       2.21      4.388       4.663
     4.786       9.81       3290       2.09      4.663       4.909
     5.021      11.42       3266       1.99      4.909       5.133
     5.235      14.35       3297       1.91      5.133       5.338
     5.434      20.05       3256       1.84      5.338       5.529
     5.618      28.63       3269       1.78      5.529       5.707
     5.791      35.15       3250       1.73      5.707       5.875
     5.955      56.45       3242       1.68      5.875       6.034
     6.110      70.38       3260       1.64      6.034       6.185
     6.257      98.11       3282       1.60      6.185       6.329

# CChalf Statistics from ech-full_dark_CChalf.dat
  1/d centre       CC       nref      d / A   Min 1/nm    Max 1/nm
     1.353  0.9951350       3505       7.39      0.139       2.566
     2.900  0.9926016       3358       3.45      2.566       3.233
     3.467  0.9889941       3323       2.88      3.233       3.701
     3.888  0.9871455       3323       2.57      3.701       4.074
     4.231  0.9863837       3317       2.36      4.074       4.388
     4.526  0.9832142       3251       2.21      4.388       4.663
     4.786  0.9790681       3290       2.09      4.663       4.909
     5.021  0.9791886       3266       1.99      4.909       5.133
     5.235  0.9704739       3297       1.91      5.133       5.338
     5.434  0.9496885       3256       1.84      5.338       5.529
     5.618  0.8977627       3269       1.78      5.529       5.707
     5.791  0.8582592       3250       1.73      5.707       5.875
     5.955  0.7211854       3242       1.68      5.875       6.034
     6.110  0.6182545       3260       1.64      6.034       6.185
     6.257  0.4639556       3282       1.60      6.185       6.329

# CCstar Statistics from ech-full_dark_CCstar.dat
  1/d centre      CC*       nref      d / A   Min 1/nm    Max 1/nm
     1.353  0.9987800       3505       7.39      0.139       2.566
     2.900  0.9981418       3358       3.45      2.566       3.233
     3.467  0.9972295       3323       2.88      3.233       3.701
     3.888  0.9967603       3323       2.57      3.701       4.074
     4.231  0.9965667       3317       2.36      4.074       4.388
     4.526  0.9957590       3251       2.21      4.388       4.663
     4.786  0.9946976       3290       2.09      4.663       4.909
     5.021  0.9947285       3266       1.99      4.909       5.133
     5.235  0.9924796       3297       1.91      5.133       5.338
     5.434  0.9870132       3256       1.84      5.338       5.529
     5.618  0.9726908       3269       1.78      5.529       5.707
     5.791  0.9611056       3250       1.73      5.707       5.875
     5.955  0.9154290       3242       1.68      5.875       6.034
     6.110  0.8741284       3260       1.64      6.034       6.185
     6.257  0.7961396       3282       1.60      6.185       6.329

