# Completeness Statistics from ech-laser_completeness.dat
Center 1/nm  # refs Possible  Compl       Meas   Red   SNR     Mean I     d(A)    Min 1/nm   Max 1/nm
     1.291     3033     3032 100.03   25151830 8292.7 33.21     240.96     7.75       0.139      2.443
     2.760     2919     2919 100.00   14685900 5031.1 28.74     133.20     3.62       2.443      3.078
     3.300     2871     2871 100.00   12884636 4487.9 25.01      46.45     3.03       3.078      3.523
     3.700     2864     2864 100.00   11717128 4091.2 22.83      21.47     2.70       3.523      3.878
     4.027     2830     2830 100.00   10770000 3805.7 19.95      12.74     2.48       3.878      4.177
     4.308     2842     2842 100.00    9744261 3428.7 16.49       7.85     2.32       4.177      4.439
     4.556     2831     2831 100.00    9350664 3303.0 13.27       5.32     2.20       4.439      4.673
     4.779     2868     2868 100.00    8687056 3029.0 10.10       3.26     2.09       4.673      4.885
     4.983     2797     2797 100.00    8415546 3008.8  7.88       2.16     2.01       4.885      5.081
     5.172     2832     2832 100.00    8342107 2945.7  5.55       1.25     1.93       5.081      5.263
     5.347     2803     2803 100.00    8044293 2869.9  3.66       0.73     1.87       5.263      5.432
     5.512     2833     2833 100.00    7945448 2804.6  2.59       0.47     1.81       5.432      5.592
     5.668     2811     2811 100.00    7695213 2737.5  1.68       0.28     1.76       5.592      5.743
     5.815     2796     2796 100.00    7482416 2676.1  1.26       0.20     1.72       5.743      5.887
     5.956     2819     2819 100.00    7034857 2495.5  0.71       0.13     1.68       5.887      6.024

# Rsplit Statistics from ech-laser_Rsplit.dat
  1/d centre Rsplit/%       nref      d / A   Min 1/nm    Max 1/nm
     1.291       3.55       3033       7.75      0.139       2.443
     2.760       4.43       2919       3.62      2.443       3.078
     3.300       5.45       2871       3.03      3.078       3.523
     3.700       5.90       2864       2.70      3.523       3.878
     4.027       6.73       2830       2.48      3.878       4.177
     4.308       6.99       2842       2.32      4.177       4.439
     4.556       8.81       2831       2.20      4.439       4.673
     4.779       9.66       2868       2.09      4.673       4.885
     4.983      11.64       2797       2.01      4.885       5.081
     5.172      15.10       2832       1.93      5.081       5.263
     5.347      21.16       2803       1.87      5.263       5.432
     5.512      28.44       2833       1.81      5.432       5.592
     5.668      40.56       2811       1.76      5.592       5.743
     5.815      49.47       2796       1.72      5.743       5.887
     5.956     121.08       2819       1.68      5.887       6.024

# CChalf Statistics from ech-laser_CChalf.dat
  1/d centre       CC       nref      d / A   Min 1/nm    Max 1/nm
     1.291  0.9964896       3033       7.75      0.139       2.443
     2.760  0.9946048       2919       3.62      2.443       3.078
     3.300  0.9924876       2871       3.03      3.078       3.523
     3.700  0.9906778       2864       2.70      3.523       3.878
     4.027  0.9880042       2830       2.48      3.878       4.177
     4.308  0.9895008       2842       2.32      4.177       4.439
     4.556  0.9829890       2831       2.20      4.439       4.673
     4.779  0.9833166       2868       2.09      4.673       4.885
     4.983  0.9829468       2797       2.01      4.885       5.081
     5.172  0.9701997       2832       1.93      5.081       5.263
     5.347  0.9487314       2803       1.87      5.263       5.432
     5.512  0.8866795       2833       1.81      5.432       5.592
     5.668  0.8285336       2811       1.76      5.592       5.743
     5.815  0.7862483       2796       1.72      5.743       5.887
     5.956  0.3796856       2819       1.68      5.887       6.024

# CCstar Statistics from ech-laser_CCstar.dat
  1/d centre      CC*       nref      d / A   Min 1/nm    Max 1/nm
     1.291  0.9991205       3033       7.75      0.139       2.443
     2.760  0.9986466       2919       3.62      2.443       3.078
     3.300  0.9981130       2871       3.03      3.078       3.523
     3.700  0.9976558       2864       2.70      3.523       3.878
     4.027  0.9969784       2830       2.48      3.878       4.177
     4.308  0.9973578       2842       2.32      4.177       4.439
     4.556  0.9957015       2831       2.20      4.439       4.673
     4.779  0.9957852       2868       2.09      4.673       4.885
     4.983  0.9956908       2797       2.01      4.885       5.081
     5.172  0.9924084       2832       1.93      5.081       5.263
     5.347  0.9867580       2803       1.87      5.263       5.432
     5.512  0.9695032       2833       1.81      5.432       5.592
     5.668  0.9519597       2811       1.76      5.592       5.743
     5.815  0.9382616       2796       1.72      5.743       5.887
     5.956  0.7418857       2819       1.68      5.887       6.024

