  1/d centre       CC       nref      d / A   Min 1/nm    Max 1/nm
     1.258  0.9838947       2434       7.95      0.262       2.254
     2.546  0.9749135       2314       3.93      2.254       2.839
     3.044  0.9759083       2290       3.29      2.839       3.249
     3.413  0.9688324       2264       2.93      3.249       3.576
     3.714  0.9725623       2276       2.69      3.576       3.852
     3.973  0.9703773       2267       2.52      3.852       4.094
     4.201  0.9678190       2240       2.38      4.094       4.309
     4.407  0.9518582       2263       2.27      4.309       4.505
     4.596  0.9230262       2246       2.18      4.505       4.686
     4.770  0.9273435       2247       2.10      4.686       4.853
     4.932  0.9164578       2253       2.03      4.853       5.010
     5.084  0.8693409       2211       1.97      5.010       5.157
     5.227  0.8294056       2236       1.91      5.157       5.297
     5.363  0.7253946       2248       1.86      5.297       5.429
     5.492  0.4989040       2237       1.82      5.429       5.556
