# Completeness Statistics from can-dark_completeness.dat
Center 1/nm  # refs Possible  Compl       Meas   Red   SNR     Mean I     d(A)    Min 1/nm   Max 1/nm
     1.258     2434     2432 100.08    4333308 1780.3 16.78     124.68     7.95       0.262      2.254
     2.546     2314     2314 100.00    2421225 1046.3 15.48      90.38     3.93       2.254      2.839
     3.044     2290     2290 100.00    2098322 916.3 13.90      41.15     3.29       2.839      3.249
     3.413     2264     2264 100.00    1942459 858.0 12.53      19.59     2.93       3.249      3.576
     3.714     2276     2276 100.00    1825602 802.1 10.84      11.86     2.69       3.576      3.852
     3.973     2267     2267 100.00    1720295 758.8  9.57       8.26     2.52       3.852      4.094
     4.201     2240     2240 100.00    1612714 720.0  8.32       6.21     2.38       4.094      4.309
     4.407     2263     2263 100.00    1511901 668.1  6.74       4.52     2.27       4.309      4.505
     4.596     2246     2246 100.00    1407030 626.5  5.26       3.23     2.18       4.505      4.686
     4.770     2247     2247 100.00    1374498 611.7  4.32       2.36     2.10       4.686      4.853
     4.932     2253     2253 100.00    1277116 566.9  3.49       1.83     2.03       4.853      5.010
     5.084     2211     2211 100.00    1270519 574.6  2.55       1.18     1.97       5.010      5.157
     5.227     2236     2236 100.00    1271597 568.7  1.95       0.84     1.91       5.157      5.297
     5.363     2248     2248 100.00    1257269 559.3  1.33       0.54     1.86       5.297      5.429
     5.492     2237     2237 100.00    1228314 549.1  0.99       0.40     1.82       5.429      5.556

# Rsplit Statistics from can-dark_Rsplit.dat
  1/d centre Rsplit/%       nref      d / A   Min 1/nm    Max 1/nm
     1.258       7.81       2434       7.95      0.262       2.254
     2.546       9.21       2314       3.93      2.254       2.839
     3.044       9.77       2290       3.29      2.839       3.249
     3.413      10.53       2264       2.93      3.249       3.576
     3.714      10.94       2276       2.69      3.576       3.852
     3.973      11.71       2267       2.52      3.852       4.094
     4.201      12.43       2240       2.38      4.094       4.309
     4.407      15.32       2263       2.27      4.309       4.505
     4.596      18.84       2246       2.18      4.505       4.686
     4.770      20.95       2247       2.10      4.686       4.853
     4.932      23.92       2253       2.03      4.853       5.010
     5.084      30.42       2211       1.97      5.010       5.157
     5.227      37.73       2236       1.91      5.157       5.297
     5.363      50.39       2248       1.86      5.297       5.429
     5.492      67.90       2237       1.82      5.429       5.556

# CChalf Statistics from can-dark_CChalf.dat
  1/d centre       CC       nref      d / A   Min 1/nm    Max 1/nm
     1.258  0.9838947       2434       7.95      0.262       2.254
     2.546  0.9749135       2314       3.93      2.254       2.839
     3.044  0.9759083       2290       3.29      2.839       3.249
     3.413  0.9688324       2264       2.93      3.249       3.576
     3.714  0.9725623       2276       2.69      3.576       3.852
     3.973  0.9703773       2267       2.52      3.852       4.094
     4.201  0.9678190       2240       2.38      4.094       4.309
     4.407  0.9518582       2263       2.27      4.309       4.505
     4.596  0.9230262       2246       2.18      4.505       4.686
     4.770  0.9273435       2247       2.10      4.686       4.853
     4.932  0.9164578       2253       2.03      4.853       5.010
     5.084  0.8693409       2211       1.97      5.010       5.157
     5.227  0.8294056       2236       1.91      5.157       5.297
     5.363  0.7253946       2248       1.86      5.297       5.429
     5.492  0.4989040       2237       1.82      5.429       5.556

# CCstar Statistics from can-dark_CCstar.dat
  1/d centre      CC*       nref      d / A   Min 1/nm    Max 1/nm
     1.258  0.9959327       2434       7.95      0.262       2.254
     2.546  0.9936284       2314       3.93      2.254       2.839
     3.044  0.9938849       2290       3.29      2.839       3.249
     3.413  0.9920532       2264       2.93      3.249       3.576
     3.714  0.9930208       2276       2.69      3.576       3.852
     3.973  0.9924545       2267       2.52      3.852       4.094
     4.201  0.9917895       2240       2.38      4.094       4.309
     4.407  0.9875907       2263       2.27      4.309       4.505
     4.596  0.9797819       2246       2.18      4.505       4.686
     4.770  0.9809701       2247       2.10      4.686       4.853
     4.932  0.9779611       2253       2.03      4.853       5.010
     5.084  0.9644191       2211       1.97      5.010       5.157
     5.227  0.9522335       2236       1.91      5.157       5.297
     5.363  0.9169759       2248       1.86      5.297       5.429
     5.492  0.8158993       2237       1.82      5.429       5.556

