  1/d centre      CC*       nref      d / A   Min 1/nm    Max 1/nm
     1.198  0.9889597       2084       8.34      0.262       2.135
     2.412  0.9836643       1970       4.15      2.135       2.690
     2.884  0.9815916       1967       3.47      2.690       3.078
     3.233  0.9759793       1938       3.09      3.078       3.388
     3.519  0.9769997       1928       2.84      3.388       3.650
     3.764  0.9789440       1921       2.66      3.650       3.878
     3.980  0.9551466       1909       2.51      3.878       4.083
     4.175  0.9692748       1943       2.39      4.083       4.268
     4.354  0.9615052       1907       2.30      4.268       4.439
     4.519  0.9145925       1915       2.21      4.439       4.598
     4.672  0.9186654       1915       2.14      4.598       4.746
     4.816  0.9077695       1894       2.08      4.746       4.886
     4.952  0.9050987       1914       2.02      4.886       5.018
     5.081  0.8518906       1918       1.97      5.018       5.144
     5.203  0.8062771       1878       1.92      5.144       5.263
