  1/d centre Rsplit/%       nref      d / A   Min 1/nm    Max 1/nm
     1.227       8.06       2248       8.15      0.262       2.193
     2.478       9.21       2121       4.04      2.193       2.762
     2.962      10.43       2125       3.38      2.762       3.162
     3.321      11.09       2096       3.01      3.162       3.480
     3.614      11.71       2085       2.77      3.480       3.748
     3.866      12.10       2086       2.59      3.748       3.983
     4.088      13.89       2101       2.45      3.983       4.193
     4.288      15.37       2069       2.33      4.193       4.384
     4.471      19.52       2060       2.24      4.384       4.559
     4.641      21.68       2074       2.15      4.559       4.722
     4.798      25.72       2057       2.08      4.722       4.875
     4.946      30.21       2083       2.02      4.875       5.018
     5.086      37.45       2050       1.97      5.018       5.154
     5.218      47.55       2039       1.92      5.154       5.283
     5.344      61.45       2070       1.87      5.283       5.405
