# Completeness Statistics from can-dark_completeness.dat
Center 1/nm  # refs Possible  Compl       Meas   Red   SNR     Mean I     d(A)    Min 1/nm   Max 1/nm
     1.258     2434     2432 100.08    3968486 1630.4 16.51     133.55     7.95       0.262      2.254
     2.546     2314     2314 100.00    2218107 958.6 15.34      97.06     3.93       2.254      2.839
     3.044     2290     2290 100.00    1921854 839.2 13.88      44.27     3.29       2.839      3.249
     3.413     2264     2264 100.00    1779522 786.0 12.60      21.16     2.93       3.249      3.576
     3.714     2276     2276 100.00    1672892 735.0 10.99      12.84     2.69       3.576      3.852
     3.973     2267     2267 100.00    1575289 694.9  9.79       8.98     2.52       3.852      4.094
     4.201     2240     2240 100.00    1476769 659.3  8.58       6.80     2.38       4.094      4.309
     4.407     2263     2263 100.00    1385324 612.2  7.02       4.96     2.27       4.309      4.505
     4.596     2246     2246 100.00    1288403 573.6  5.53       3.57     2.18       4.505      4.686
     4.770     2247     2247 100.00    1259089 560.3  4.60       2.64     2.10       4.686      4.853
     4.932     2253     2253 100.00    1169585 519.1  3.78       2.08     2.03       4.853      5.010
     5.084     2211     2211 100.00    1163696 526.3  2.80       1.35     1.97       5.010      5.157
     5.227     2236     2236 100.00    1164454 520.8  2.18       0.98     1.91       5.157      5.297
     5.363     2248     2248 100.00    1151108 512.1  1.50       0.64     1.86       5.297      5.429
     5.492     2237     2237 100.00    1125044 502.9  1.13       0.47     1.82       5.429      5.556

# Rsplit Statistics from can-dark_Rsplit.dat
  1/d centre Rsplit/%       nref      d / A   Min 1/nm    Max 1/nm
     1.258       7.95       2434       7.95      0.262       2.254
     2.546       9.08       2314       3.93      2.254       2.839
     3.044       9.96       2290       3.29      2.839       3.249
     3.413      10.34       2264       2.93      3.249       3.576
     3.714      10.63       2276       2.69      3.576       3.852
     3.973      11.37       2267       2.52      3.852       4.094
     4.201      12.82       2240       2.38      4.094       4.309
     4.407      14.44       2263       2.27      4.309       4.505
     4.596      17.93       2246       2.18      4.505       4.686
     4.770      19.57       2247       2.10      4.686       4.853
     4.932      22.96       2253       2.03      4.853       5.010
     5.084      27.52       2211       1.97      5.010       5.157
     5.227      34.78       2236       1.91      5.157       5.297
     5.363      47.62       2248       1.86      5.297       5.429
     5.492      60.55       2237       1.82      5.429       5.556

# CChalf Statistics from can-dark_CChalf.dat
  1/d centre       CC       nref      d / A   Min 1/nm    Max 1/nm
     1.258  0.9839889       2434       7.95      0.262       2.254
     2.546  0.9763974       2314       3.93      2.254       2.839
     3.044  0.9752924       2290       3.29      2.839       3.249
     3.413  0.9713136       2264       2.93      3.249       3.576
     3.714  0.9727960       2276       2.69      3.576       3.852
     3.973  0.9692959       2267       2.52      3.852       4.094
     4.201  0.9625568       2240       2.38      4.094       4.309
     4.407  0.9600718       2263       2.27      4.309       4.505
     4.596  0.9303379       2246       2.18      4.505       4.686
     4.770  0.9394852       2247       2.10      4.686       4.853
     4.932  0.9232940       2253       2.03      4.853       5.010
     5.084  0.8982414       2211       1.97      5.010       5.157
     5.227  0.8544232       2236       1.91      5.157       5.297
     5.363  0.7486989       2248       1.86      5.297       5.429
     5.492  0.5448610       2237       1.82      5.429       5.556

# CCstar Statistics from can-dark_CCstar.dat
  1/d centre      CC*       nref      d / A   Min 1/nm    Max 1/nm
     1.258  0.9959567       2434       7.95      0.262       2.254
     2.546  0.9940109       2314       3.93      2.254       2.839
     3.044  0.9937262       2290       3.29      2.839       3.249
     3.413  0.9926974       2264       2.93      3.249       3.576
     3.714  0.9930813       2276       2.69      3.576       3.852
     3.973  0.9921737       2267       2.52      3.852       4.094
     4.201  0.9904147       2240       2.38      4.094       4.309
     4.407  0.9897622       2263       2.27      4.309       4.505
     4.596  0.9817902       2246       2.18      4.505       4.686
     4.770  0.9842756       2247       2.10      4.686       4.853
     4.932  0.9798558       2253       2.03      4.853       5.010
     5.084  0.9728274       2211       1.97      5.010       5.157
     5.227  0.9599466       2236       1.91      5.157       5.297
     5.363  0.9253608       2248       1.86      5.297       5.429
     5.492  0.8398721       2237       1.82      5.429       5.556

