  1/d centre      CC*       nref      d / A   Min 1/nm    Max 1/nm
     1.182  0.9855404       1987       8.46      0.262       2.102
     2.375  0.9781375       1879       4.21      2.102       2.648
     2.839  0.9715557       1870       3.52      2.648       3.031
     3.183  0.9754241       1850       3.14      3.031       3.335
     3.464  0.9723564       1847       2.89      3.335       3.593
     3.705  0.9752611       1841       2.70      3.593       3.818
     3.919  0.9546350       1847       2.55      3.818       4.019
     4.111  0.9640843       1817       2.43      4.019       4.202
     4.286  0.9601378       1841       2.33      4.202       4.370
     4.448  0.9288894       1816       2.25      4.370       4.526
     4.599  0.9283575       1832       2.17      4.526       4.673
     4.741  0.9179401       1792       2.11      4.673       4.810
     4.875  0.9099339       1844       2.05      4.810       4.940
     5.002  0.8802567       1817       2.00      4.940       5.064
     5.122  0.8334825       1814       1.95      5.064       5.181
