  1/d centre Rsplit/%       nref      d / A   Min 1/nm    Max 1/nm
     1.182      15.40       1987       8.46      0.262       2.102
     2.375      17.64       1879       4.21      2.102       2.648
     2.839      18.96       1870       3.52      2.648       3.031
     3.183      20.27       1850       3.14      3.031       3.335
     3.464      20.29       1847       2.89      3.335       3.593
     3.705      21.33       1841       2.70      3.593       3.818
     3.919      24.66       1847       2.55      3.818       4.019
     4.111      25.05       1817       2.43      4.019       4.202
     4.286      28.31       1841       2.33      4.202       4.370
     4.448      35.03       1816       2.25      4.370       4.526
     4.599      40.21       1832       2.17      4.526       4.673
     4.741      45.80       1792       2.11      4.673       4.810
     4.875      49.99       1844       2.05      4.810       4.940
     5.002      61.36       1817       2.00      4.940       5.064
     5.122      75.53       1814       1.95      5.064       5.181
