# Completeness Statistics from can-laser26_completeness.dat
Center 1/nm  # refs Possible  Compl       Meas   Red   SNR     Mean I     d(A)    Min 1/nm   Max 1/nm
     1.258     2434     2432 100.08    2795808 1148.6 14.28     133.11     7.95       0.262      2.254
     2.546     2314     2314 100.00    1561286 674.7 13.32      95.20     3.93       2.254      2.839
     3.044     2290     2290 100.00    1352048 590.4 11.91      42.71     3.29       2.839      3.249
     3.413     2264     2264 100.00    1256046 554.8 10.60      20.48     2.93       3.249      3.576
     3.714     2276     2276 100.00    1181135 519.0  9.06      12.44     2.69       3.576      3.852
     3.973     2267     2267 100.00    1109753 489.5  7.89       8.70     2.52       3.852      4.094
     4.201     2240     2240 100.00    1040972 464.7  6.79       6.60     2.38       4.094      4.309
     4.407     2263     2263 100.00     976622 431.6  5.46       4.77     2.27       4.309      4.505
     4.596     2246     2246 100.00     907692 404.1  4.20       3.39     2.18       4.505      4.686
     4.770     2247     2247 100.00     888185 395.3  3.44       2.54     2.10       4.686      4.853
     4.932     2253     2253 100.00     824048 365.8  2.74       1.97     2.03       4.853      5.010
     5.084     2211     2211 100.00     819923 370.8  2.00       1.29     1.97       5.010      5.157
     5.227     2236     2236 100.00     820484 366.9  1.50       0.93     1.91       5.157      5.297
     5.363     2248     2248 100.00     810899 360.7  1.01       0.60     1.86       5.297      5.429
     5.492     2237     2237 100.00     792812 354.4  0.77       0.45     1.82       5.429      5.556

# Rsplit Statistics from can-laser26_Rsplit.dat
  1/d centre Rsplit/%       nref      d / A   Min 1/nm    Max 1/nm
     1.258       9.02       2434       7.95      0.262       2.254
     2.546      10.36       2314       3.93      2.254       2.839
     3.044      11.68       2290       3.29      2.839       3.249
     3.413      12.36       2264       2.93      3.249       3.576
     3.714      13.28       2276       2.69      3.576       3.852
     3.973      14.59       2267       2.52      3.852       4.094
     4.201      15.76       2240       2.38      4.094       4.309
     4.407      19.18       2263       2.27      4.309       4.505
     4.596      22.23       2246       2.18      4.505       4.686
     4.770      24.79       2247       2.10      4.686       4.853
     4.932      30.67       2253       2.03      4.853       5.010
     5.084      38.44       2211       1.97      5.010       5.157
     5.227      50.58       2236       1.91      5.157       5.297
     5.363      65.99       2248       1.86      5.297       5.429
     5.492      83.31       2237       1.82      5.429       5.556

# CChalf Statistics from can-laser26_CChalf.dat
  1/d centre       CC       nref      d / A   Min 1/nm    Max 1/nm
     1.258  0.9797267       2434       7.95      0.262       2.254
     2.546  0.9688989       2314       3.93      2.254       2.839
     3.044  0.9655223       2290       3.29      2.839       3.249
     3.413  0.9610083       2264       2.93      3.249       3.576
     3.714  0.9539213       2276       2.69      3.576       3.852
     3.973  0.9519572       2267       2.52      3.852       4.094
     4.201  0.9460752       2240       2.38      4.094       4.309
     4.407  0.8982090       2263       2.27      4.309       4.505
     4.596  0.9124607       2246       2.18      4.505       4.686
     4.770  0.9011871       2247       2.10      4.686       4.853
     4.932  0.8677138       2253       2.03      4.853       5.010
     5.084  0.8129523       2211       1.97      5.010       5.157
     5.227  0.5007526       2236       1.91      5.157       5.297
     5.363  0.5488194       2248       1.86      5.297       5.429
     5.492  0.4441910       2237       1.82      5.429       5.556

# CCstar Statistics from can-laser26_CCstar.dat
  1/d centre      CC*       nref      d / A   Min 1/nm    Max 1/nm
     1.258  0.9948666       2434       7.95      0.262       2.254
     2.546  0.9920705       2314       3.93      2.254       2.839
     3.044  0.9911906       2290       3.29      2.839       3.249
     3.413  0.9900083       2264       2.93      3.249       3.576
     3.714  0.9881383       2276       2.69      3.576       3.852
     3.973  0.9876170       2267       2.52      3.852       4.094
     4.201  0.9860479       2240       2.38      4.094       4.309
     4.407  0.9728182       2263       2.27      4.309       4.505
     4.596  0.9768454       2246       2.18      4.505       4.686
     4.770  0.9736661       2247       2.10      4.686       4.853
     4.932  0.9639357       2253       2.03      4.853       5.010
     5.084  0.9470095       2211       1.97      5.010       5.157
     5.227  0.8169059       2236       1.91      5.157       5.297
     5.363  0.8418396       2248       1.86      5.297       5.429
     5.492  0.7843096       2237       1.82      5.429       5.556

