# Completeness Statistics from ech-laser_2h_completeness.dat
Center 1/nm  # refs Possible  Compl       Meas   Red   SNR     Mean I     d(A)    Min 1/nm   Max 1/nm
     1.258     2444     2442 100.08    4611605 1886.9 16.20     225.50     7.95       0.261      2.254
     2.546     2324     2324 100.00    2582274 1111.1 15.15     148.02     3.93       2.254      2.839
     3.044     2291     2291 100.00    2241175 978.3 13.93      59.20     3.29       2.839      3.249
     3.413     2282     2282 100.00    2090915 916.3 13.04      25.68     2.93       3.249      3.576
     3.714     2288     2288 100.00    1963682 858.3 11.44      14.12     2.69       3.576      3.852
     3.973     2262     2262 100.00    1829792 808.9  9.92       9.08     2.52       3.852      4.094
     4.201     2251     2251 100.00    1734542 770.6  8.61       6.22     2.38       4.094      4.309
     4.407     2292     2292 100.00    1637535 714.5  6.86       4.30     2.27       4.309      4.505
     4.596     2231     2231 100.00    1493749 669.5  5.09       2.85     2.18       4.505      4.686
     4.770     2270     2270 100.00    1482201 653.0  4.07       2.02     2.10       4.686      4.853
     4.932     2253     2253 100.00    1361706 604.4  3.13       1.49     2.03       4.853      5.010
     5.084     2211     2211 100.00    1360638 615.4  2.16       0.89     1.97       5.010      5.157
     5.227     2254     2254 100.00    1369973 607.8  1.57       0.61     1.91       5.157      5.297
     5.363     2268     2268 100.00    1359722 599.5  1.01       0.37     1.86       5.297      5.429
     5.492     2242     2242 100.00    1318453 588.1  0.74       0.26     1.82       5.429      5.556

# Rsplit Statistics from ech-laser_2h_Rsplit.dat
  1/d centre Rsplit/%       nref      d / A   Min 1/nm    Max 1/nm
     1.258       7.25       2444       7.95      0.261       2.254
     2.546       8.82       2324       3.93      2.254       2.839
     3.044       9.63       2291       3.29      2.839       3.249
     3.413       9.85       2282       2.93      3.249       3.576
     3.714      10.64       2288       2.69      3.576       3.852
     3.973      11.41       2262       2.52      3.852       4.094
     4.201      12.37       2251       2.38      4.094       4.309
     4.407      14.28       2292       2.27      4.309       4.505
     4.596      17.98       2231       2.18      4.505       4.686
     4.770      20.70       2270       2.10      4.686       4.853
     4.932      24.66       2253       2.03      4.853       5.010
     5.084      32.37       2211       1.97      5.010       5.157
     5.227      42.60       2254       1.91      5.157       5.297
     5.363      59.31       2268       1.86      5.297       5.429
     5.492      74.70       2242       1.82      5.429       5.556

# CChalf Statistics from ech-laser_2h_CChalf.dat
  1/d centre       CC       nref      d / A   Min 1/nm    Max 1/nm
     1.258  0.9850478       2444       7.95      0.261       2.254
     2.546  0.9767661       2324       3.93      2.254       2.839
     3.044  0.9756050       2291       3.29      2.839       3.249
     3.413  0.9743651       2282       2.93      3.249       3.576
     3.714  0.9722754       2288       2.69      3.576       3.852
     3.973  0.9702205       2262       2.52      3.852       4.094
     4.201  0.9685146       2251       2.38      4.094       4.309
     4.407  0.9583820       2292       2.27      4.309       4.505
     4.596  0.9430214       2231       2.18      4.505       4.686
     4.770  0.9308316       2270       2.10      4.686       4.853
     4.932  0.9274063       2253       2.03      4.853       5.010
     5.084  0.8724779       2211       1.97      5.010       5.157
     5.227  0.8203370       2254       1.91      5.157       5.297
     5.363  0.7021801       2268       1.86      5.297       5.429
     5.492  0.5652358       2242       1.82      5.429       5.556

# CCstar Statistics from ech-laser_2h_CCstar.dat
  1/d centre      CC*       nref      d / A   Min 1/nm    Max 1/nm
     1.258  0.9962267       2444       7.95      0.261       2.254
     2.546  0.9941059       2324       3.93      2.254       2.839
     3.044  0.9938068       2291       3.29      2.839       3.249
     3.413  0.9934869       2282       2.93      3.249       3.576
     3.714  0.9929465       2288       2.69      3.576       3.852
     3.973  0.9924138       2262       2.52      3.852       4.094
     4.201  0.9919705       2251       2.38      4.094       4.309
     4.407  0.9893173       2292       2.27      4.309       4.505
     4.596  0.9852285       2231       2.18      4.505       4.686
     4.770  0.9819251       2270       2.10      4.686       4.853
     4.932  0.9809873       2253       2.03      4.853       5.010
     5.084  0.9653479       2211       1.97      5.010       5.157
     5.227  0.9493694       2254       1.91      5.157       5.297
     5.363  0.9083150       2268       1.86      5.297       5.429
     5.492  0.8498454       2242       1.82      5.429       5.556

