# Completeness Statistics from ech-full_dark_completeness.dat
Center 1/nm  # refs Possible  Compl       Meas   Red   SNR     Mean I     d(A)    Min 1/nm   Max 1/nm
     1.353     3505     3504 100.03   21300573 6077.2 27.08     233.14     7.39       0.139      2.566
     2.900     3358     3358 100.00   12413045 3696.6 23.00     113.49     3.45       2.566      3.233
     3.467     3329     3329 100.00   11085170 3329.9 20.74      36.98     2.88       3.233      3.701
     3.888     3325     3325 100.00   10080659 3031.8 18.74      17.08     2.57       3.701      4.074
     4.231     3317     3317 100.00    8968821 2703.9 16.36      10.42     2.36       4.074      4.388
     4.526     3251     3251 100.00    8184021 2517.4 13.39       6.37     2.21       4.388      4.663
     4.786     3290     3290 100.00    7611978 2313.7 10.56       3.87     2.09       4.663      4.909
     5.021     3274     3274 100.00    7554041 2307.3  8.06       2.31     1.99       4.909      5.133
     5.235     3293     3293 100.00    7371658 2238.6  5.71       1.29     1.91       5.133      5.338
     5.434     3262     3262 100.00    7119212 2182.5  3.72       0.71     1.84       5.338      5.529
     5.618     3269     3269 100.00    6956551 2128.0  2.48       0.42     1.78       5.529      5.707
     5.791     3256     3256 100.00    6758366 2075.7  1.80       0.28     1.73       5.707      5.875
     5.955     3245     3245 100.00    6264392 1930.5  1.16       0.18     1.68       5.875      6.034
     6.110     3257     3257 100.00    5240333 1608.9  0.81       0.13     1.64       6.034      6.185
     6.257     3290     3290 100.00    4416845 1342.5  0.54       0.09     1.60       6.185      6.329

# Rsplit Statistics from ech-full_dark_Rsplit.dat
  1/d centre Rsplit/%       nref      d / A   Min 1/nm    Max 1/nm
     1.353       4.36       3505       7.39      0.139       2.566
     2.900       5.91       3358       3.45      2.566       3.233
     3.467       6.89       3329       2.88      3.233       3.701
     3.888       7.34       3325       2.57      3.701       4.074
     4.231       7.60       3317       2.36      4.074       4.388
     4.526       8.95       3251       2.21      4.388       4.663
     4.786      10.23       3290       2.09      4.663       4.909
     5.021      11.86       3274       1.99      4.909       5.133
     5.235      15.31       3293       1.91      5.133       5.338
     5.434      20.86       3262       1.84      5.338       5.529
     5.618      29.45       3269       1.78      5.529       5.707
     5.791      36.09       3256       1.73      5.707       5.875
     5.955      60.32       3245       1.68      5.875       6.034
     6.110      71.52       3257       1.64      6.034       6.185
     6.257      95.84       3290       1.60      6.185       6.329

# CChalf Statistics from ech-full_dark_CChalf.dat
  1/d centre       CC       nref      d / A   Min 1/nm    Max 1/nm
     1.353  0.9947621       3505       7.39      0.139       2.566
     2.900  0.9911410       3358       3.45      2.566       3.233
     3.467  0.9870809       3329       2.88      3.233       3.701
     3.888  0.9837533       3325       2.57      3.701       4.074
     4.231  0.9863536       3317       2.36      4.074       4.388
     4.526  0.9833817       3251       2.21      4.388       4.663
     4.786  0.9788016       3290       2.09      4.663       4.909
     5.021  0.9775775       3274       1.99      4.909       5.133
     5.235  0.9671228       3293       1.91      5.133       5.338
     5.434  0.9442132       3262       1.84      5.338       5.529
     5.618  0.8556528       3269       1.78      5.529       5.707
     5.791  0.8469968       3256       1.73      5.707       5.875
     5.955  0.6620914       3245       1.68      5.875       6.034
     6.110  0.4360894       3257       1.64      6.034       6.185
     6.257  0.4605300       3290       1.60      6.185       6.329

# CCstar Statistics from ech-full_dark_CCstar.dat
  1/d centre      CC*       nref      d / A   Min 1/nm    Max 1/nm
     1.353  0.9986862       3505       7.39      0.139       2.566
     2.900  0.9977729       3358       3.45      2.566       3.233
     3.467  0.9967439       3329       2.88      3.233       3.701
     3.888  0.9958966       3325       2.57      3.701       4.074
     4.231  0.9965590       3317       2.36      4.074       4.388
     4.526  0.9958018       3251       2.21      4.388       4.663
     4.786  0.9946292       3290       2.09      4.663       4.909
     5.021  0.9943146       3274       1.99      4.909       5.133
     5.235  0.9916081       3293       1.91      5.133       5.338
     5.434  0.9855487       3262       1.84      5.338       5.529
     5.618  0.9603188       3269       1.78      5.529       5.707
     5.791  0.9576853       3256       1.73      5.707       5.875
     5.955  0.8925787       3245       1.68      5.875       6.034
     6.110  0.7793132       3257       1.64      6.034       6.185
     6.257  0.7941248       3290       1.60      6.185       6.329

