# Completeness Statistics from ech-laser_completeness.dat
Center 1/nm  # refs Possible  Compl       Meas   Red   SNR     Mean I     d(A)    Min 1/nm   Max 1/nm
     1.276     2941     2940 100.03   22975436 7812.1 31.08     229.91     7.84       0.139      2.414
     2.727     2800     2800 100.00   13135242 4691.2 26.82     129.85     3.67       2.414      3.041
     3.261     2766     2766 100.00   11718543 4236.6 23.26      47.15     3.07       3.041      3.481
     3.656     2758     2758 100.00   10701235 3880.1 21.26      21.65     2.74       3.481      3.831
     3.979     2761     2761 100.00    9988419 3617.7 18.18      12.17     2.51       3.831      4.127
     4.256     2774     2774 100.00    8998326 3243.8 15.89       8.09     2.35       4.127      4.386
     4.501     2733     2733 100.00    8381400 3066.7 12.54       5.24     2.22       4.386      4.617
     4.722     2701     2701 100.00    7714952 2856.3  9.87       3.36     2.12       4.617      4.827
     4.924     2745     2745 100.00    7726852 2814.9  8.02       2.32     2.03       4.827      5.020
     5.110     2742     2742 100.00    7600882 2772.0  5.64       1.32     1.96       5.020      5.200
     5.284     2698     2698 100.00    7306567 2708.1  4.10       0.83     1.89       5.200      5.368
     5.447     2727     2727 100.00    7221540 2648.2  2.79       0.51     1.84       5.368      5.526
     5.600     2715     2715 100.00    7049709 2596.6  1.92       0.32     1.79       5.526      5.675
     5.746     2700     2700 100.00    6862075 2541.5  1.39       0.22     1.74       5.675      5.817
     5.885     2730     2730 100.00    6685603 2448.9  0.88       0.15     1.70       5.817      5.952

# Rsplit Statistics from ech-laser_Rsplit.dat
  1/d centre Rsplit/%       nref      d / A   Min 1/nm    Max 1/nm
     1.276       4.01       2941       7.84      0.139       2.414
     2.727       4.80       2800       3.67      2.414       3.041
     3.261       5.64       2766       3.07      3.041       3.481
     3.656       6.05       2758       2.74      3.481       3.831
     3.979       7.14       2761       2.51      3.831       4.127
     4.256       7.34       2774       2.35      4.127       4.386
     4.501       9.39       2733       2.22      4.386       4.617
     4.722      10.27       2701       2.12      4.617       4.827
     4.924      11.94       2745       2.03      4.827       5.020
     5.110      15.50       2742       1.96      5.020       5.200
     5.284      20.09       2698       1.89      5.200       5.368
     5.447      26.82       2727       1.84      5.368       5.526
     5.600      38.80       2715       1.79      5.526       5.675
     5.746      49.08       2700       1.74      5.675       5.817
     5.885      94.17       2730       1.70      5.817       5.952

# CChalf Statistics from ech-laser_CChalf.dat
  1/d centre       CC       nref      d / A   Min 1/nm    Max 1/nm
     1.276  0.9955454       2941       7.84      0.139       2.414
     2.727  0.9935524       2800       3.67      2.414       3.041
     3.261  0.9925282       2766       3.07      3.041       3.481
     3.656  0.9909099       2758       2.74      3.481       3.831
     3.979  0.9879241       2761       2.51      3.831       4.127
     4.256  0.9882814       2774       2.35      4.127       4.386
     4.501  0.9826736       2733       2.22      4.386       4.617
     4.722  0.9806716       2701       2.12      4.617       4.827
     4.924  0.9773021       2745       2.03      4.827       5.020
     5.110  0.9683538       2742       1.96      5.020       5.200
     5.284  0.9506176       2698       1.89      5.200       5.368
     5.447  0.9130863       2727       1.84      5.368       5.526
     5.600  0.7807078       2715       1.79      5.526       5.675
     5.746  0.7532208       2700       1.74      5.675       5.817
     5.885  0.4383878       2730       1.70      5.817       5.952

# CCstar Statistics from ech-laser_CCstar.dat
  1/d centre      CC*       nref      d / A   Min 1/nm    Max 1/nm
     1.276  0.9988832       2941       7.84      0.139       2.414
     2.727  0.9983816       2800       3.67      2.414       3.041
     3.261  0.9981233       2766       3.07      3.041       3.481
     3.656  0.9977145       2758       2.74      3.481       3.831
     3.979  0.9969581       2761       2.51      3.831       4.127
     4.256  0.9970487       2774       2.35      4.127       4.386
     4.501  0.9956210       2733       2.22      4.386       4.617
     4.722  0.9951088       2701       2.12      4.617       4.827
     4.924  0.9942438       2745       2.03      4.827       5.020
     5.110  0.9919287       2742       1.96      5.020       5.200
     5.284  0.9872607       2698       1.89      5.200       5.368
     5.447  0.9770204       2727       1.84      5.368       5.526
     5.600  0.9364033       2715       1.79      5.526       5.675
     5.746  0.9269533       2700       1.74      5.675       5.817
     5.885  0.7807397       2730       1.70      5.817       5.952

